word,changes
абитуриент,урие->уриэ
абсент,бсе->бсэ
абсентеизм,бсе->бсэ&нте->нтэ
авиетка,вие->виэ
австралопитек,ите->итэ
автогрейдер,йде->йдэ
адаптер,пте->птэ
адекватный,аде->адэ
Адель,Аде->Адэ
аденоид,аде->адэ
адепт,аде->адэ
адюльтер,ьте->ьтэ
аллегретто,гре->грэ
алтей,лте->лтэ
альдегид,ьде->ьдэ
альсекко,ьсе->ьсэ
альтерация,ьте->ьтэ
альтернатива,ьте->ьтэ
альтернация,ьте->ьтэ
альтернирующий,ьте->ьтэ
альфреско,фре->фрэ
амбре,бре->брэ
амнезия,мне->мнэ
Амстердам,сте->стэ
анамнез,мне->мнэ
ангстрем,тре->трэ
анданте,нте->нтэ
Андерсен,нде->ндэ&рсе->рсэ
анестезиолог,ане->анэ&сте->стэ
анестезия,ане->анэ&сте->стэ
Антей,нте->нтэ
антенна,нте->нтэ
антисептика,исе->исэ
антитеза,ите->итэ
антитезис,ите->итэ
антитетический,ите->итэ
антре,тре->трэ
апостериори,сте->стэ
ариетта,рие->риэ
Арсен,рсе->рсэ
археоптерикс,пте->птэ
асептика,асе->асэ
асептический,асе->асэ
Асмодей,оде->одэ
астеник,сте->стэ
астенический,сте->стэ
астения,сте->стэ
астероид,сте->стэ
атеизм,ате->атэ
атеист,ате->атэ
ателье,ате->атэ
атеросклероз,ате->атэ
атторней,рне->рнэ
аутентичность,уте->утэ
аутентичный,уте->утэ
аутодафе,афе->афэ
аутсайдер,йде->йдэ
ацтек,цте->цтэ
багатель,ате->атэ
базедова,азе->азэ
бантенг,нте->нтэ
баттерфляй,тте->ттэ
баядерка,яде->ядэ
бедекер,еде->едэ
безе,езе->езэ
бейдевинд,йде->йдэ
бельведер,еде->едэ
берсез,рсе->рсэ
бестселлер,тсе->тсэ
бизнес,зне->знэ
бизнесмен,зне->знэ&сме->смэ
биогенез,ене->енэ
бифштекс,ште->штэ
брандер,нде->ндэ
брекватер,ате->атэ
бретелька,ете->етэ
брудершафт,уде->удэ
бундесвер,нде->ндэ
бундестаг,нде->ндэ
буриме,име->имэ
бурре,рре->ррэ
вальдшнеп,шне->шнэ
Вальтер,ьте->ьтэ
варьете,ете->етэ
ватер,ате->атэ
ватерпас,ате->атэ
ватерполист,ате->атэ
вендетта,нде->ндэ
виконтесса,нте->нтэ
Войтек,йте->йтэ
Вольтер,ьте->ьтэ
вольтерьянство,ьте->ьтэ
вундеркинд,нде->ндэ
газгольдер,ьде->ьдэ
газелла,азе->азэ
галифе,ифе->ифэ
гардения,рде->рдэ
гастроэнтерит,нте->нтэ
гейзер,йзе->йзэ
геликоптер,пте->птэ
генезис,ене->енэ
генетика,ене->енэ
Генриетта,рие->риэ
геодезист,оде->одэ
герменевтика,ене->енэ
гетеанец,ете->етэ
гетера,ете->етэ
Гименей,ене->енэ
гименоптеры,пте->птэ
Гомер,оме->омэ
граве,аве->авэ
градиент,дие->диэ
грейдер,йде->йдэ
гротеск,оте->отэ
гротесковый,оте->отэ
гульден,ьде->ьдэ
Данте,нте->нтэ
Дантес-Геккерен,нте->нтэ
деаэрация,де->дэ
дебаркадер,де->дэ&де->дэ
деблокировать,де->дэ
дегазация,де->дэ
деградация,де->дэ
деградировать,де->дэ
дегрессия,де->дэ
дегустировать,де->дэ
дезабилье,де->дэ
дезавуировать,де->дэ
дезидерата,де->дэ&де->дэ
дезинсекция,де->дэ
дезодорированный,де->дэ
деизм,де->дэ
деист,де->дэ
дейтерий,де->дэ&йте->йтэ
дека,де->дэ
декаграмм,де->дэ
декаданс,де->дэ
декалитр,де->дэ
декалькировать,де->дэ
декатонна,де->дэ
декаэдр,де->дэ
декокт,де->дэ
декольте,де->дэ&ьте->ьтэ
декольтированный,де->дэ
декольтировать,де->дэ
декомпенсация,де->дэ
декомценсированный,де->дэ
декорт,де->дэ
декорум,де->дэ
де,де->дэ
декстроза,де->дэ
делибаш,де->дэ
дельта,де->дэ
демарш,де->дэ
демаскированный,де->дэ
демиург,де->дэ
демографический,де->дэ
демография,де->дэ
демонтаж,де->дэ
деморализация,де->дэ
демос,де->дэ
демпинг,де->дэ
денационализированный,де->дэ
денатурализовать,де->дэ
денди,де->дэ
дендрарий,де->дэ
дендрологня,де->дэ
деноминация,де->дэ
денонсация,де->дэ
дексиметр,де->дэ
дентикулы,де->дэ
денье,де->дэ
депрессивный,де->дэ
депрессия,де->дэ
дератизация,де->дэ
дерби,де->дэ
дербист,де->дэ
дерматолог,де->дэ
деташе,де->дэ
детектив,дете->дэтэ
детектор,дете->дэтэ
детерминизм,дете->дэтэ
де-факто,де->дэ
дефиле,де->дэ
дефилировать,де->дэ
дефиниция,де->дэ
дефляция,де->дэ
деформировать,де->дэ
дефростер,де->дэ&сте->стэ
децентрализованный,де->дэ
децибел,де->дэ
децима,де->дэ
децимальный,де->дэ
дециметр,де->дэ
дешифрирование,де->дэ
дешифровать,де->дэ
де-юре,де-юре->дэ-юрэ
диадема,аде->адэ
диатез,ате->атэ
диететика,ете->етэ
диспансер,нсе->нсэ
диссентеры,нте->нтэ
Доде,оде->одэ
Драйзер,йзе->йзэ
дромадер,аде->адэ
заштемпелевать,ште->штэ
идентификация,иде->идэ
