,b,b’,v,v’,g,g’,d,d’,5,z,z’,j,k,k’,l,l’,m,m’,n,n’,p,p’,r,r’,s,s’,t,t’,f,f’,x,2,4,7
b,0,0,M,M,M,0,0,R,M,R,M,0,0,0,R,R,0,0,0,M,0,0,R,R,0,0,0,0,0,0,0,0,0,0
b’,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v,R,R,R,0,R,R,R,R,M,R,R,R,0,0,R,R,R,R,R,R,0,0,M,M,0,0,0,0,0,0,0,0,0,0
v’,0,0,0,R,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,M,R,M,M,0,0,R,R,M,R,M,0,0,0,R,R,M,M,R,R,0,0,R,R,0,0,0,0,0,0,0,0,0,0
g’,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,M,R,R,R,M,0,0,0,R,R,R,0,0,0,M,M,M,M,M,R,0,0,R,M,0,0,0,0,0,0,0,0,0,0
d’,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,R,R,R,R,R,R,R,R,R,0,0,R,0,0,M,M,R,R,R,R,0,0,M,M,0,0,0,0,0,0,0,0,0,0
z,R,0,R,0,R,R,R,0,0,R,0,0,0,0,R,0,M,0,R,0,0,0,M,M,0,0,0,0,0,0,0,0,0,0
z’,0,R,0,R,0,0,0,R,0,0,0,M,0,0,0,R,0,R,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,R,M,0,0,0,0,0,0,0,0,0,0,R,R,M,M,M,R,M,M,R,R,R,R,M,M,0,0,R,M,M,M
k’,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,R,R,R,R,R,0,0,0,R,0,R,0,0,0,R,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,R,0,0,0
l’,R,0,R,R,R,R,R,R,R,0,R,R,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,R,0,0,0,R,0,0
m,R,R,M,M,R,R,R,R,R,R,R,0,M,0,R,R,0,0,R,R,R,R,M,M,R,R,M,M,0,0,R,R,R,R
m’,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
